x_m,stage,pm25_ugm3,no_ppb,no2_ppb,voc_ppb,o3_ppb,oh_ppt
0.9848,wesp,140.4542,40.0000,80.0000,300.0000,20.0000,0.0000
0.9896,wesp,140.4268,40.0000,80.0000,300.0000,20.0000,0.0000
0.9945,wesp,140.3994,40.0000,80.0000,300.0000,20.0000,0.0000
0.9994,wesp,140.3720,40.0000,80.0000,300.0000,20.0000,0.0000
1.0043,wesp,140.3447,40.0000,80.0000,300.0000,20.0000,0.0000
1.0091,wesp,140.3173,40.0000,80.0000,300.0000,20.0000,0.0000
1.0140,wesp,140.2899,40.0000,80.0000,300.0000,20.0000,0.0000
1.0189,wesp,140.2626,40.0000,80.0000,300.0000,20.0000,0.0000
1.0237,wesp,140.2352,40.0000,80.0000,300.0000,20.0000,0.0000
1.0286,wesp,140.2079,40.0000,80.0000,300.0000,20.0000,0.0000
1.0335,wesp,140.1806,40.0000,80.0000,300.0000,20.0000,0.0000
1.0384,wesp,140.1532,40.0000,80.0000,300.0000,20.0000,0.0000
1.0433,wesp,140.1259,40.0000,80.0000,300.0000,20.0000,0.0000
1.0481,wesp,140.0986,40.0000,80.0000,300.0000,20.0000,0.0000
1.0530,wesp,140.0713,40.0000,80.0000,300.0000,20.0000,0.0000
1.0579,wesp,140.0439,40.0000,80.0000,300.0000,20.0000,0.0000
1.0628,wesp,140.0166,40.0000,80.0000,300.0000,20.0000,0.0000
1.0676,wesp,139.9893,40.0000,80.0000,300.0000,20.0000,0.0000
1.0725,wesp,139.9620,40.0000,80.0000,300.0000,20.0000,0.0000
1.0774,wesp,139.9348,40.0000,80.0000,300.0000,20.0000,0.0000
1.0822,wesp,139.9075,40.0000,80.0000,300.0000,20.0000,0.0000
1.0871,wesp,139.8802,40.0000,80.0000,300.0000,20.0000,0.0000
1.0920,wesp,139.8529,40.0000,80.0000,300.0000,20.0000,0.0000
1.0969,wesp,139.8257,40.0000,80.0000,300.0000,20.0000,0.0000
1.1018,wesp,139.7984,40.0000,80.0000,300.0000,20.0000,0.0000
1.1066,wesp,139.7711,40.0000,80.0000,300.0000,20.0000,0.0000
1.1115,wesp,139.7439,40.0000,80.0000,300.0000,20.0000,0.0000
1.1164,wesp,139.7166,40.0000,80.0000,300.0000,20.0000,0.0000
